WAC bezahlt teures Lehrgeld;https://www.diepresse.com/5718741/Europa-League_WAC-bezahlt-teures-Lehrgeld?from=rss;Die Wolfsberger wollen die Hoffnungen aber auch nach dem 0:3 gegen Istanbul Basaksehir nicht aufgeben. Coach Struber: Wir wissen, was wir bewerkstelligen können.;2019-11-08T08:45:00;SPORTS
Polizisten schließen sich in Bolivien Protesten an;https://www.diepresse.com/5719540/Polizisten-schliessen-sich-in-Bolivien-Protesten-an?from=rss;Die Regierung schließt einen Einsatz der Armee vorerst aus.;2019-11-09T17:00:00;POLITICS
FC Bayern sagt Arsène Wenger ab;https://www.diepresse.com/5718523/Trainersuche_FC-Bayern-sagt-Arsene-Wenger-ab?from=rss;Der Elsässer Arsène Wenger wird nicht neuer Bayern-Coach. Der Klub sucht doch eine Langzeitlösung.;2019-11-07T17:17:00; SPORTS
5,5 Milliarden: Facebook schraubt Gewinn und Nutzer nach oben;https://www.diepresse.com/5714760/Quartal_55-Milliarden_Facebook-schraubt-Gewinn-und-Nutzer-nach-oben?from=rss;Trotz Datenskandalen und anhaltender Kritik am Umgang mit manipulativen Web-Inhalten hat Facebook im dritten Quartal glänzend verdient und Nutzer hinzugewonnen.;2019-10-30T20:52:00;TECH
Weltweit fast vier mal so viele Menschen online wie 2005;https://www.diepresse.com/5717056/Studie_Weltweit-fast-vier-mal-so-viele-Menschen-online-wie-2005?from=rss;48 Prozent der Frauen und gut 58 Prozent der Männer sind weltweit im Netz. Je entwickelter einer Region, desto höher ist der Anteil der Internetnutzer.;2019-11-05T11:51:00;TECH
Elektroauto ID.3 rollt 2020 im VW-Werk Zwickau vom Band;https://www.diepresse.com/5714945/Premiere_Elektroauto-ID3-rollt-2020-im-VWWerk-Zwickau-vom-Band?from=rss;VW startet am Montag die Produktion des ersten vollelektrischen Fahrzeuges. Auch Kanzlerin Merkel wird in Sachsen erwartet. Für den ID.3 gibt es 30.000 Vorbestellungen.;2019-10-31T10:41:00;LIFESTYLE
Energie: Wasserstoff statt Dieselrauch   ;  https://www.diepresse.com/5691450/Energie_Wasserstoff-statt-Dieselrauch?from=rss;Bei Schwerfahrzeugen, aber auch Staplern könnte die Brennstoffzelle eine interessante Alternative zu Diesel und Batterie sein. Noch mangelt es allerdings an Fahrzeugen, Infrastruktur und Akzeptanz.;  2019-09-17T17:56:00 ;  LIFESTYLE
    Kreml will souveränes russisches Internet schaffen;https://www.diepresse.com/5715423/Internetgesetz_Kreml-will-souveraenes-russisches-Internet-schaffen?from=rss;In Russland ist ein höchst umstrittenes Internetgesetz in Kraft getreten. Kritiker fürchten, dass damit die Meinungsfreiheit massiv einschränken wird.;2019-11-01T11:05:00;TECH
TikTok: Wie gefährlich ist das größte Start-up der Welt? [premium];https://www.diepresse.com/5714679/VideoApp_TikTok_Wie-gefaehrlich-ist-das-groesste-Startup-der-Welt?from=rss;Die populäre Video-App TikTok aus China beflügelt die Fantasie. Ist das weltgrößte Start-up nun also der nächste Star an der Börse oder eine Gefahr für die nationale Sicherheit?;2019-10-31T08:12:00;TECH
Rapid ist wie Ferrari: Da ist Herz im Spiel [premium];https://www.diepresse.com/5718974/Quereinsteigerin_Rapid-ist-wie-Ferrari_Da-ist-Herz-im-Spiel?from=rss;Ex-Formel-1-Teamchefin Monisha Kaltenborn ist Rapid-Fan, die Topmanagerin könnte mit Martin Bruckner sogar ins SCR-Präsidium einziehen. Über Bälle, Autos  ihre Ideen für Grün-Weiß und Parallelen der Königsklasse des Motorsports zur Bundesliga.;2019-11-08T13:51:00;SPORTS
Wienerberger: Gewinnplus;https://www.diepresse.com/5718553/Baustoffe_Wienerberger_Gewinnplus?from=rss;Das Unternehmen steigerte den Umsatz leicht und den Gewinn stark. Grund war der verstärkte Verkauf teurerer Produkte.;2019-11-07T17:37:00;ECONOMY
Zwerger neuer Mehrheitseigentümer bei Autozulieferer Rupert Fertinger;https://www.diepresse.com/5718991/Zwerger-neuer-Mehrheitseigentuemer-bei-Autozulieferer-Rupert-Fertinger?from=rss;Die restlichen 49 Prozent gehen an eine Investorengruppe. Das Sanierungsverfahren soll im November abgeschlossen werden.;2019-11-08T13:57:00;ECONOMY
E-Auto-Absatz: Besorgniserregende Unterschiede in Europa;https://www.diepresse.com/5713827/EAutoAbsatz_Besorgniserregende-Unterschiede-in-Europa?from=rss;Die Einführung von E-Fahrzeugen hänge eindeutig mit dem Lebensstandard in einem Land zusammen, ortet der europäische Fachverband.;2019-10-29T10:50:00;LIFESTYLE
Mitsubishi: Abschied in Grau und Schwarz;https://www.diepresse.com/5691335/Sondermodell_Mitsubishi_Abschied-in-Grau-und-Schwarz?from=rss;Last Edition Mitsubishi L200 Blackline.;2019-09-17T17:39:00;LIFESTYLE
Google kauft Fitness-Firma Fitbit für 2 Milliarden Dollar;https://www.diepresse.com/5715490/SmartwatchBusiness_Google-kauft-FitnessFirma-Fitbit-fuer-2?from=rss;Nach tagelangen Gerüchten bestätigt Google die Übernahme von Fitbit. Der Smartwatch-Pionier hatte in der Vergangenheit Probleme, alleine gegen Apple und die Billig-Konkurrenz aus China zu bestehen.;2019-11-01T14:15:00;TECH
Renault Master: Aufgepeppt mit Pkw-Komfort;https://www.diepresse.com/5691342/Renault-Master_Aufgepeppt-mit-PkwKomfort?from=rss;Ein gutes Beispiel, wie man Baureihen aktuell hält: mit vielen Goodies wie beim Master.;2019-09-17T17:42:00;LIFESTYLE
Werner Kogler möchte zehn Jahre regieren;https://www.diepresse.com/5719280/Koalitionsverhandlungen_Werner-Kogler-moechte-zehn-Jahre-regieren?from=rss;Freitagabend endeten die Sondierungsgespräche. Am Sonntag entscheiden die Grünen über Koalitionsverhandlungen.;2019-11-08T20:03:00;POLITICS
Insider: Hochrangige Regierungsmitarbeiter per WhatsApp ausgespäht;https://www.diepresse.com/5715307/SpionageSoftware_Insider_Hochrangige-Regierungsmitarbeiter-per?from=rss;Mit einer israelischen Spionage-Software konnten offenbar die Smartphones der Betroffenen ausgespäht werden. Am Dienstag hatte WhatsApp gegen die Firma NSO Group Klage eingereicht.;2019-10-31T19:03:00;TECH
Vorwürfe gegen Novomatic fallen gelassen;https://www.diepresse.com/5718552/Vorwuerfe-gegen-Novomatic-fallen-gelassen?from=rss;Staatsanwalt stellte Korruptionsermittlung ein.;2019-11-07T17:37:00;ECONOMY
DiePresse wünscht einen schönen Sankt Nimmerleins-Tag!;https://www.diepresse.com/13243546/Was-fuer-ein-Tag?from=rss;Diesen Sankt Nimmerleinstag gibt es nicht wirklich.;2019-11-37T10:43:00;POLITICS
Lask legt spielerische und mentale Reifeprüfung ab [premium];https://www.diepresse.com/5718782/Analyse_Lask-legt-spielerische-und-mentale-Reifepruefung-ab?from=rss;Mannschaft und Trainer haben beim 4:1-Sieg über PSV Eindhoven die volle Überzeugung in die eigenen Tugenden vorgelebt. Als Lohn liegt der Aufstieg ins Sechzehntelfinale der Europa League bereit.;2019-11-08T10:55:00;SPORTS
Opel Combo Cargo: Neue Gene, bekannte Transporteigenschaften;https://www.diepresse.com/5691338/Opel-Combo-Cargo_Neue-Gene-bekannte-Transporteigenschaften?from=rss;Neue Basis: Opel Combo Cargo.;2019-09-17T17:57:00;LIFESTYLE
Politiker mahnen Engagement gegen Antisemitismus ein;https://www.diepresse.com/5719406/Novemberpogrome_Politiker-mahnen-Engagement-gegen-Antisemitismus-ein?from=rss;Bundespräsident Van der Bellen, Kanzlerin Bierlein, Nationalratspräsident Sobotka SPÖ warnten vor aktuellen Entwicklungen.;2019-11-09T10:41:00;POLITICS
Wunsch nach einem normalen Land [premium];https://www.diepresse.com/5718543/Rumaenien_Wunsch-nach-einem-normalen-Land?from=rss;Bei der Präsidentenwahl am Sonntag gilt der eher trocken wirkende Amtsinhaber, Klaus Johannis, als deutlicher Favorit: Er ist für viele Rumänen der einzige Garant für Stabilität.;2019-11-09T13:34:00;POLITICS
Wie funktionieren Trollfabriken?;https://www.diepresse.com/5715080/Informationskrieg_Wie-funktionieren-Trollfabriken?from=rss;200 Fake-Konten löschte Facebook kürzlich. Sie stehen im Verdacht, Einfluss auf die Wahlen in Afrika genommen zu haben. Betrieben sollen sie von Putin-Koch Yevgeny Prigozhin worden sein.;2019-10-31T13:25:00;TECH
Lynch-Kampagne: Erdoan poltert gegen die Uefa;https://www.diepresse.com/5718380/LynchKampagne_Erdogan-poltert-gegen-die-Uefa?from=rss;Alle Fußballer hätten das Recht, sagt der türkische Präsident Recep Tayyip Erdoan, zu salutieren. Die Kritik daran in Europa werte er als Diskriminierung.;2019-11-07T13:26:00;SPORTS
